Razão Social,Fundo,Segmento,Código,Concat,,Ontem,Volume Atual,Variação Desde Ontem,Tendências
JHSF RIO BRAVO FAZENDA BOA VISTA CAP. PROT. - FII,FII JHSF FBV,,RBBV,RBBV11,"R$ 86,05",#N/A,6728,#N/A,
JPP ALLOCATION MOGNO - FDO INV IMOB,FII JPPMOGNO,,JPPA,JPPA11,"R$ 115,00","92,72",200,#N/A,
JPP CAPITAL FDO INV IMOB - FII,FII JPP CAPI,,JPPC,JPPC11,"R$ 650,00",#N/A,0,#N/A,#N/A
JS REAL ESTATE MULTIGESTÃO - FII,FII JS REAL,,JSRE,JSRE11,"R$ 113,80",#N/A,39212,#N/A,
JT PREV FDO INV IMOB DESENVOLVIMENTO HABITACIONAL,FII JT PREV,,JTPR,JTPR11,"R$ 0,00",#N/A,0,#N/A,#N/A
KINEA HIGH YIELD CRI FDO INV IMOB - FII,FII KINEA HY,,KNHY,KNHY11,"R$ 119,00",#N/A,2514,#N/A,
KINEA II REAL ESTATE EQUITY FDO INV IMOB,FII KII REAL,,KNRE,KNRE11,"R$ 6,55",#N/A,28401,#N/A,
KINEA ÍNDICES DE PREÇOS FDO INV IMOB - FII,FII KINEA IP,,KNIP,KNIP11,"R$ 116,00",#N/A,19671,#N/A,
KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII,FII KINEA,,KNRI,KNRI11,"R$ 174,90",#N/A,36005,#N/A,
KINEA RENDIMENTOS IMOBILIÁRIOS FDO INV IMOB - FII,FII KINEA RI,,KNCR,KNCR11,"R$ 104,09",#N/A,35634,#N/A,
LATERES FDO INV IMOB - FII,FII LATERES,MB,LATR,LATR11,#N/A,#N/A,#N/A,#N/A,#N/A
LEGATUS SHOPPINGS FDO. INV. IMOB. - FII,FII LEGATUS,,LASC,LASC11,#N/A,#N/A,#N/A,#N/A,#N/A
LOFT I - FDO INV IMOB,FII LOFT I,MB,LOFT,LOFT11,#N/A,#N/A,#N/A,#N/A,#N/A
LOG CP INTER FDO INV IMOB,FII LGCP INT,,LGCP,LGCP11,#N/A,#N/A,#N/A,#N/A,#N/A
MAC FDO INV IMOB,FII MAC,,DMAC,DMAC11,"R$ 615,00","3,65",6,#N/A,
MALLS BRASIL PLURAL FDO INV IMOB,FII MALLS BP,,MALL,MALL11,"R$ 107,79",#N/A,89035,#N/A,
MAXI RENDA FDO INV IMOB - FII,FII MAXI REN,,MXRF,MXRF11,"R$ 11,47",#N/A,336985,#N/A,
MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I FII - FII,FII MERITO I,,MFII,MFII11,"R$ 126,69",#N/A,12519,#N/A,
MULTI PROPERTIES FDO INV IMOB - FII,FII MULTPROP,,PRTS,PRTS11,"R$ 0,00","2,14",0,#N/A,#N/A
MULTI SHOPPINGS FDO INV IMOB - FII,FII MULTSHOP,,SHOP,SHOP11,"R$ 0,00",341,0,#N/A,#N/A
MULTIGESTÃO RENDA COMERCIAL FDO INV IMOB - FII,FII MTGESTAO,MB,DRIT,DRIT11,#N/A,#N/A,#N/A,#N/A,#N/A
NEWPORT LOGÍSTICA FDO INV. IMOB.,FII NEWPORT,,NEWL,NEWL11,#N/A,#N/A,#N/A,#N/A,#N/A
NOVA I - FDO INV IMOB - FII,FII NOVA I,MB,NVIF,NVIF11,#N/A,#N/A,#N/A,#N/A,#N/A
OPPORTUNITY FDO INV IMOB,FII OPPORTUN,MB,FTCE,FTCE11,#N/A,#N/A,#N/A,#N/A,#N/A
OURINVEST JPP FDO INV IMOB - FII,FII OURI JPP,,OUJP,OUJP11,"R$ 109,99",#N/A,6185,#N/A,
OURO PRETO DESENV IMOB I FDO INV IMOB - FII,FII OURO PRT,,ORPD,ORPD11,"R$ 80,01",#N/A,0,#N/A,
PÁTRIA EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII,FII PATRIA,,PATC,PATC11,"R$ 122,00",#N/A,11901,#N/A,
PERSONALE I FDO INV IMOB - FII,FII PERSONAL,MB,PRSN,PRSN11,#N/A,#N/A,#N/A,#N/A,#N/A
POLO FDO INV IMOB - FII RECEBÍVEIS IMOBILIÁRIOS I,FII POLO I,,PLRI,PLRI11,"R$ 60,00",#N/A,482,#N/A,
POLO FDO INV IMOB - RECEBÍVEIS IMOB II - FII,FII POLO CRI,,PORD,PORD11,"R$ 107,95",#N/A,92,#N/A,
PROLOGIS BRAZIL LOGISTICS VENTURE FDO INV IMOB,FII PROLOGIS,,PBLV,PBLV11,"R$ 0,00",#N/A,0,#N/A,#N/A
QUASAR AGRO - FDO INV. IMOB.,FII QUASAR A,,QAGR,QAGR11,"R$ 102,49",#N/A,45066,#N/A,
RB CAPITAL DESENV RESID III FDO INV IMOB - FII,FII RBRESID3,,RSPD,RSPD11,"R$ 1.100,00",#N/A,0,#N/A,#N/A
RB CAPITAL DESENV. RESID. II FDO INV IMOB - FII,FII RBRESID2,,RBDS,RBDS11,"R$ 69,60",#N/A,20,#N/A,
RB CAPITAL GENERAL SHOP SULACAP FDO INV IMOB - FII,FII RB GSB I,,RBGS,RBGS11,"R$ 54,23",#N/A,742,#N/A,
RB CAPITAL OFFICE INCOME FDO INV. IMOB.,FII R INCOME,,RBCO,RBCO11,"R$ 105,98",#N/A,422,#N/A,
RB CAPITAL RENDA I FDO INV IMOB - FII,FII RB CAP I,MB,FIIP,FIIP11,#N/A,#N/A,#N/A,#N/A,#N/A
RB CAPITAL RENDA II FDO INV IMOB - FII,FII RB II,,RBRD,RBRD11,"R$ 106,75",#N/A,1934,#N/A,
RB CAPITAL RENDIMENTOS IMOB FDO INV IMOB - FII,FII RB CRI,MB,RCRI,RCRI11,#N/A,#N/A,#N/A,#N/A,#N/A
RB CAPITAL TFO SITUS FDO INV IMOB - FII,FII RB TFO,,RBTS,RBTS11,#N/A,#N/A,#N/A,#N/A,#N/A
REAG RENDA IMOBILIARIA FDO INV IMOB - FII,FII DOMO,,DOMC,DOMC11,"R$ 513,96",#N/A,12,#N/A,
RENDA DE ESCRITÓRIOS FDO INV IMOB - FII,FII RD ESCRI,,RDES,RDES11,"R$ 64,09",#N/A,83,#N/A,
RIO BRAVO CRÉDITO IMOB IV FDO INV IMOB - FII,FII RBCRI IV,,RBIV,RBIV11,#N/A,#N/A,#N/A,#N/A,#N/A
RIO BRAVO CRÉDITO IMOBILIÁRIO I FDO INV IMOB,FII RIOBRCIB,,RBCB,RBCB11,"R$ 24,50",#N/A,22,#N/A,
RIO BRAVO CRÉDITO IMOBILIÁRIO II FDO INV IMOB -FII,FII RIOBCRI2,,RBVO,RBVO11,"R$ 42,40",#N/A,1393,#N/A,
RIO BRAVO IFIX FDO INV IMOB,FII RIOB FF,,RBFF,RBFF11,"R$ 90,05",#N/A,3096,#N/A,
SANTANDER AGÊNCIAS FDO INV IMOB - FII,FII SANT AGE,,SAAG,SAAG11,"R$ 132,00",#N/A,21512,#N/A,
SANTANDER PAPEIS IMOB CDI FDO INV IMOB,FII SANT PAP,,SADI,SADI11,"R$ 100,00",#N/A,1786,#N/A,
SAO DOMINGOS FDO INV IMOB - FII,FII DOMINGOS,,FISD,FISD11,"R$ 0,00",#N/A,0,#N/A,#N/A
SDI PROPERTIES - FDO INV. IMOB,FII SDI PROP,,SDIP,SDIP11,"R$ 100,98",#N/A,38682,#N/A,
SHOPPING WEST PLAZA FDO INV IMOB,FII W PLAZA,,WPLZ,WPLZ11,"R$ 103,00",#N/A,148,#N/A,
SOCOPA FDO INV IMOB - FII,FII REIT RIV,,REIT,REIT11,"R$ 1.291,22","2201,86",0,#N/A,
